Actual Distance (cm),Measured Distance (cm)
20.0,19.35
20.0,19.35
20.0,18.92
20.0,18.92
20.0,18.94
20.0,19.33
20.0,18.92
20.0,18.92
20.0,18.92
20.0,18.92
20.0,18.92
20.0,19.35
20.0,18.94
20.0,18.94
20.0,18.92
20.0,18.94
20.0,18.87
20.0,18.87
20.0,19.35
20.0,19.35
20.0,18.92
20.0,18.92
20.0,19.35
20.0,18.92
20.0,18.92
10.0,18.94
10.0,18.94
10.0,18.92
10.0,18.92
10.0,19.52
10.0,13.58
10.0,10.85
10.0,6.04
10.0,10.61
10.0,10.13
10.0,10.13
10.0,10.13
10.0,10.54
10.0,10.54
10.0,10.13
10.0,9.72
10.0,10.13
10.0,10.13
10.0,10.13
10.0,10.13
10.0,10.13
10.0,10.13
10.0,9.72
10.0,9.72
10.0,9.72
5.0,9.72
5.0,9.72
5.0,8.23
5.0,5.56
5.0,5.03
5.0,5.44
5.0,5.44
5.0,5.44
5.0,4.54
5.0,5.44
5.0,5.44
5.0,5.44
5.0,5.44
5.0,5.44
5.0,4.54
5.0,5.44
5.0,5.44
5.0,5.02
5.0,5.44
5.0,5.44
5.0,5.02
5.0,5.44
5.0,5.44
5.0,5.44
5.0,5.44
3.0,5.44
3.0,4.56
3.0,5.37
3.0,3.25
3.0,3.18
3.0,3.25
3.0,2.77
3.0,3.35
3.0,3.11
3.0,2.7
3.0,2.52
3.0,2.58
3.0,3.06
3.0,3.06
3.0,2.82
3.0,2.94
3.0,3.01
3.0,3.01
3.0,2.53
3.0,2.52
3.0,2.99
3.0,2.99
3.0,2.99
3.0,2.99
3.0,2.99
